s1_duration_sec,s1_amplitude,s1_area,s2_duration_sec,s2_amplitude,s2_area,systole_duration_sec,diastole_duration_sec,label
0.0995,0.271458399249638,0.019696896070819,0.085,0.261923358272389,0.015368705807603,0.195,0.336,1
0.0995,0.226438094354554,0.017610165893411,0.0995,0.291056322085013,0.017153028021,0.1575,0.3045,1
0.0995,0.240071251284337,0.019469603649761,0.0995,0.283960226681973,0.017978010920458,0.1685,1.2825,1
0.0995,0.421988476948323,0.02905820659568,0.0975,0.31144011827381,0.01960556131705,0.2,0.389,1
0.097,0.268513059916303,0.019291562702193,0.0995,0.284044613562822,0.01859700710922,0.169,0.5245,1
0.0995,0.209257375718383,0.01531608180501,0.099,0.32499085803625,0.019390602777775,0.1995,0.324,1
0.0995,0.269592453057807,0.019998968016914,0.0995,0.459082262898333,0.03102218340593,0.176,0.615,1
0.0995,0.269804987245853,0.019377211926416,0.0995,0.25790408698126,0.015937560460498,0.201,0.242,1
0.0995,0.217726455153028,0.016243744770517,0.0995,0.296119111702896,0.016497146458618,0.1405,0.3295,1
0.0995,0.290503369547035,0.020864782813722,0.0995,0.305442942339225,0.017996865136857,0.168,0.298,1
0.0995,0.245791610307865,0.016522608222876,0.0995,0.391092611730208,0.026421395679709,0.5865,0.197,1
0.0995,0.38226858194813,0.023677270938976,0.082,0.286911327371368,0.019461796231248,0.1235,0.1305,1
0.0915,0.20622844248303,0.012220296831383,0.0995,0.356618442979781,0.024568279953657,0.5255,0.198,1
0.0995,0.38286454323004,0.021639350764487,0.0995,0.274026108118219,0.02139758362257,0.323,0.156,1
0.0995,0.321009763392425,0.019253967190616,0.0995,0.352546385330369,0.0247006381049,0.3885,0.1845,1
0.0995,0.365723791724938,0.021903163325767,0.0995,0.308261381590033,0.021007159487951,0.2835,0.1365,1
0.0995,0.207026760473813,0.014733888181736,0.0995,0.30535422392811,0.022486071736427,0.266,0.165,1
0.0795,0.273964845906996,0.015615882552856,0.0995,0.331091104429453,0.025199786990087,0.3655,0.177,1
0.0945,0.371654485787254,0.021355309504605,0.0995,0.339526969357521,0.025117859154928,0.3325,0.161,1
0.0995,0.315286167643448,0.019596164251662,0.0995,0.358184432852236,0.024841156307313,0.313,0.155,1
0.0995,0.318507535233056,0.018677881551933,0.0995,0.318531963973883,0.022499378591565,0.2905,0.1575,1
0.0985,0.251411118748351,0.016516181706521,0.0995,0.350848599167498,0.024345641562031,0.8935,0.206,1
0.0995,0.306550241108603,0.018351215481162,0.0995,0.297123664283663,0.020858004260049,0.3295,0.1585,1
0.0905,0.223968627267324,0.012952130430117,0.0905,0.180741435051778,0.00979377759284,0.187,0.5645,1
0.0905,0.192519829841421,0.010850595099879,0.079,0.230686124879652,0.013348448603099,0.19,0.182,1
0.0905,0.170356853508111,0.009577687515051,0.0905,0.30397191234249,0.017479108847154,0.1975,0.1805,1
0.0905,0.215377904837421,0.012185126086556,0.0875,0.280197535248725,0.015750324015977,0.185,0.194,1
0.0905,0.193804064035876,0.01088904047529,0.0905,0.288078592961999,0.016808766423837,0.168,0.202,1
0.0905,0.18459785218652,0.010625989504145,0.0905,0.2522362060293,0.015314206505808,0.1835,0.189,1
0.0905,0.233544433992282,0.01351031681904,0.0905,0.218137984520149,0.012335365482155,0.572,0.1895,1
0.0905,0.261687114395599,0.016039338138507,0.0905,0.181783822081291,0.010368883106713,0.173,0.199,1
0.0905,0.228519767810247,0.014139389638466,0.0905,0.194046040208444,0.011222798197674,0.1905,0.272,1
0.09,0.149447238964904,0.008753037384652,0.0905,0.203421427475494,0.011971389597079,0.2005,0.5205,1
0.0905,0.212838898123253,0.011886619028893,0.0905,0.121895462543435,0.008480149530102,0.2155,0.1985,1
0.0905,0.181887972735585,0.010118722050873,0.0875,0.291116336186813,0.016178100017365,0.184,0.1895,1
0.0905,0.221792510602574,0.012054649518288,0.0905,0.207950891492812,0.012937953748989,0.1765,0.1925,1
0.0905,0.184217215455321,0.010705774268693,0.0905,0.355740764128918,0.021307291376088,0.1895,0.1715,1
0.0875,0.221457102206118,0.012105261598613,0.0905,0.22953230043562,0.01361300769906,0.1885,0.199,1
0.0905,0.221559262547856,0.012657877737404,0.0905,0.339114546555487,0.019499228910531,0.192,0.1745,1
0.0905,0.1957881354427,0.011101985493757,0.0785,0.265443776240226,0.014736022707215,0.1905,0.1945,1
0.0905,0.2149385768281,0.011965939532867,0.0905,0.189038043695447,0.011804199819951,0.356,0.1905,1
0.0905,0.292575690729886,0.016509005276529,0.0905,0.159414917728476,0.008960279956929,0.5765,0.1685,1
0.0905,0.284118019868913,0.016109858718976,0.0905,0.167484708210007,0.009506767795528,0.1965,0.178,1
0.0905,0.328589348760759,0.019096784302106,0.0905,0.190639748060538,0.010498011989074,0.1845,0.606,1
0.0905,0.227777288622589,0.013360449864625,0.0905,0.135645686283417,0.008578473234365,0.2565,0.1975,1
0.0905,0.21003309754579,0.011983791606367,0.0905,0.201735679728422,0.011499225238168,0.5855,0.1975,1
