s1_duration_sec,s1_amplitude,s1_area,s2_duration_sec,s2_amplitude,s2_area,systole_duration_sec,diastole_duration_sec,label
0.0985,0.131959265418021,0.009237558913668,0.0985,0.255433265482392,0.017961964354583,0.1705,0.273,0
0.0985,0.214752823666206,0.017356843704586,0.0985,0.257289686808705,0.017095944985675,0.2115,0.291,0
0.0985,0.229071730415197,0.01742035478296,0.0985,0.240716902973418,0.014140445341226,0.1905,0.2865,0
0.0985,0.206900134644665,0.016066825234057,0.0985,0.180240495109679,0.01149424914243,0.1915,0.283,0
0.0955,0.182835182475737,0.013213344168081,0.0985,0.199570730192884,0.013154777682392,0.2065,0.2945,0
0.0985,0.175001705517556,0.010969335032802,0.0985,0.180854865158578,0.011828237668073,0.194,0.2945,0
0.0985,0.235396264278906,0.016293245742926,0.0985,0.21970792862937,0.014384404228465,0.191,0.295,0
0.0985,0.200180268948794,0.014569022374608,0.0985,0.201171540410709,0.013116382069949,0.1925,0.294,0
0.0985,0.18795123648759,0.013229432941241,0.0985,0.204968571217432,0.01311698621621,0.198,0.3045,0
0.0985,0.18853647503712,0.013540682209195,0.0985,0.147616854063227,0.011052566988924,0.196,0.3235,0
0.0985,0.214780922357948,0.015032476281319,0.0985,0.228754090462915,0.014241350403224,0.197,0.3195,0
0.0985,0.22437653821176,0.015086295000335,0.0985,0.205258155649636,0.012962475554711,0.1925,0.154,0
0.0975,0.313760000803489,0.022778852178744,0.0985,0.228388633018724,0.015292229031459,0.195,0.4315,0
0.0985,0.17903650324834,0.014713427253477,0.0985,0.217851823648093,0.013903688834191,0.195,0.295,0
0.09,0.184081208863526,0.012947264969739,0.096,0.267435801880379,0.017093415431958,0.1975,0.1105,0
0.0985,0.122342509206723,0.007827949985646,0.0865,0.203445512949477,0.013086263485275,0.1055,0.211,0
0.0985,0.246981473356268,0.018031395363149,0.0985,0.218613817199866,0.015821483864838,0.282,0.199,0
0.0985,0.226010695029224,0.013622778383797,0.0985,0.208252950838148,0.015400840344448,0.277,0.2025,0
0.0985,0.191335803340541,0.012625440736163,0.0985,0.209580874218631,0.015387556565544,0.2735,0.2075,0
0.0985,0.22745332513887,0.015063025127169,0.0985,0.223047646563495,0.01588109641099,0.2905,0.203,0
0.0985,0.246991930523733,0.017200790113418,0.0985,0.201423643905955,0.015116705261782,0.3265,0.2035,0
0.0985,0.201104340210323,0.013701728555238,0.0985,0.232619874848478,0.016758198461993,0.3285,0.2025,0
0.0985,0.223378851764476,0.014451514812542,0.0985,0.242632606907795,0.016949343024692,0.308,0.204,0
0.0985,0.230530224719882,0.014325949217767,0.0985,0.232518124682756,0.017250982761656,0.297,0.2015,0
0.0985,0.22687152332741,0.01504657904002,0.0875,0.200921021424134,0.013290242245899,0.298,0.199,0
0.0985,0.285676067446326,0.018976246179056,0.086,0.210451186571576,0.014485626429581,0.312,0.207,0
0.0985,0.280714287101436,0.01834853577729,0.0985,0.227747383190176,0.0155046875269,0.2835,0.195,0
0.0985,0.199745272094472,0.012917349229315,0.0985,0.22955942733854,0.016089921104637,0.274,0.198,0
0.0985,0.19659104736854,0.014002004711758,0.0985,0.223654955957382,0.01535446804843,0.2775,0.202,0
0.0985,0.196821545346311,0.014901605547284,0.092,0.183358629340759,0.012186568638515,0.2805,0.207,0
0.0985,0.245544342515705,0.018205798662893,0.0985,0.203537023748531,0.01390708074912,0.292,0.1955,0
0.0985,0.220395677173703,0.012657723927888,0.0985,0.222398424726827,0.015641538961239,0.28,0.198,0
0.0985,0.225313782789569,0.014407971213781,0.0985,0.218844749522022,0.015049681738358,0.277,0.2,0
0.0985,0.21424825171016,0.014824220863983,0.0985,0.202434948539291,0.013895074141935,0.2795,0.2,0
0.0985,0.224416993948223,0.014598588954715,0.0865,0.205600289805026,0.012701107395495,0.3005,0.2065,0
0.0985,0.262302016308526,0.016671122136826,0.0985,0.219117154012467,0.015200767016512,0.298,0.192,0
0.0985,0.198816973235258,0.013064211500195,0.0985,0.22457619600995,0.015227327822242,0.287,0.196,0
0.0985,0.198971511340588,0.013186703291138,0.0985,0.217802994111556,0.015134597600062,0.2955,0.199,0
0.0985,0.232758096430566,0.014546783260565,0.091,0.195793032338288,0.012813904320073,0.304,0.2075,0
0.0985,0.193343939615892,0.012689914202824,0.0985,0.205555056591499,0.013321426053167,0.307,0.195,0
0.0985,0.22579187291426,0.014248000257253,0.0985,0.235756982335368,0.015731865049649,0.3025,0.1935,0
0.0985,0.203092716947672,0.01333319290875,0.0985,0.228667106448042,0.015873788769636,0.293,0.1945,0
0.0985,0.195387622383496,0.013664776719923,0.0985,0.221898690916082,0.015378113025666,0.3005,0.194,0
0.0985,0.211587465207045,0.013346674518379,0.0985,0.208269052802332,0.014039674079298,0.306,0.1945,0
0.1015,0.174097810770347,0.012709858003733,0.1025,0.316954340477799,0.019374264834052,0.1885,0.2505,1
0.1025,0.236543143974574,0.016275397801113,0.0985,0.233811600505422,0.013514663116395,0.2105,0.3585,1
0.101,0.173262390894287,0.012169461029648,0.1025,0.250082381241232,0.016378393090833,0.2235,0.3445,1
0.1025,0.209346104993762,0.015331005400324,0.1025,0.363376920763486,0.023584523352155,0.202,0.3185,1
0.1025,0.244144045967474,0.018798124482866,0.0585,0.299797821969193,0.01549469962361,0.1605,0.136,1
0.1015,0.240339331428894,0.01522793165553,0.1025,0.258849864018456,0.018449959759045,0.1545,0.223,1
0.1015,0.261082818860656,0.016491752719067,0.1025,0.262138882817094,0.018773542759447,0.302,0.236,1
0.1025,0.217255045656113,0.013732241194127,0.1025,0.288155899444217,0.021151088546507,0.3065,0.2355,1
0.1025,0.250948619602656,0.014036865462697,0.1025,0.171963561456753,0.011800158363524,0.1445,0.101,1
0.1015,0.240469475660719,0.018545240188798,0.081,0.192837483508586,0.010904438017315,0.217,0.342,1
0.1025,0.255901580967153,0.018973295336881,0.0965,0.260965911156782,0.016311294080457,0.228,0.129,1
0.1025,0.354576157455521,0.024787729527914,0.1025,0.319947662068482,0.02136885201355,0.183,0.2975,1
