s1_duration_sec,s1_amplitude,s1_area,s2_duration_sec,s2_amplitude,s2_area,systole_duration_sec,diastole_duration_sec,label
0.121,0.28446130926647,0.023458631597663,0.132,0.300198741831805,0.025830895034949,0.8755,0.4765,1
0.123,0.182009354451124,0.017587061069268,0.1435,0.226439130181452,0.022382585775586,0.9145,0.198,1
0.1435,0.345196988923367,0.030916974811027,0.1365,0.185470408929408,0.017720071971858,0.8645,0.881,1
0.1215,0.255899675503481,0.018225162688421,0.137,0.213254570000456,0.021930929633766,0.551,0.1725,1
0.1395,0.230282218974847,0.021368797478862,0.124,0.21479613494814,0.017631218989041,0.5555,0.1775,1
0.14,0.229262022784251,0.020186983455216,0.1215,0.251294158754335,0.018335486447014,0.8935,1.0255,1
0.109,0.277819032658813,0.016779291403264,0.12,0.187731430082396,0.016104430082456,0.418,0.212,1
0.134,0.280986526457882,0.023166137517217,0.136,0.247593268699805,0.019682955929647,0.868,0.2185,1
0.1435,0.203989647988289,0.015138206491752,0.1375,0.240655779388816,0.020313715227899,0.5015,0.4225,1
0.1015,0.285857165279432,0.017211421914303,0.1435,0.249977793632483,0.024821497294021,0.109,0.062,1
0.1415,0.224117877556986,0.019836729647435,0.143,0.372035205665969,0.030659519131453,0.5265,0.203,1
0.14,0.302426134931086,0.022715096009139,0.119,0.224168396176858,0.017405904910316,0.5335,0.2245,1
0.133,0.233136179501697,0.019112055483486,0.121,0.219620470179942,0.01676687260543,0.8685,0.8795,1
0.1285,0.281413700406577,0.022176990312439,0.095,0.238215932092609,0.014871682423675,0.86,0.456,1
0.1125,0.180614752551813,0.012365080265376,0.1175,0.387879392462404,0.029023742296562,0.347,0.879,1
0.1245,0.278090042897112,0.02046278675631,0.1435,0.208625028490187,0.024911231696138,0.584,0.148,1
0.116,0.235554675783291,0.018247193702803,0.132,0.285625780781204,0.025620922187891,0.8905,0.865,1
0.1435,0.264757161951101,0.022752714424152,0.1195,0.293929980300118,0.023975513243235,0.5395,0.229,1
0.1215,0.383736001100546,0.027170912284373,0.105,0.231300626578238,0.015894676808601,0.89,0.565,1
0.141,0.202181007323174,0.020125924702421,0.129,0.283982383819979,0.023465100239317,0.196,0.323,1
0.1435,0.181364709219143,0.016671642142391,0.1435,0.223506841086719,0.025119951576411,0.0875,0.1655,1
0.143,0.342250332883091,0.031508210148432,0.14,0.389589031719857,0.028830440155641,0.175,0.598,1
0.1105,0.296795096633318,0.020391083808042,0.126,0.396882341534247,0.02861276524567,0.901,0.607,1
0.1225,0.19574390081134,0.019860493632057,0.122,0.400892834006165,0.029451813671797,0.1585,0.174,1
0.141,0.268975792821992,0.020254645615904,0.14,0.252553677206189,0.025074422404288,0.25,0.172,1
0.1145,0.499050892429451,0.033958627252707,0.0995,0.223251354922499,0.012658634894217,0.18,0.288,0
0.1145,0.456121316088194,0.030462747389033,0.1145,0.236239080352369,0.014474670460949,0.1995,0.276,0
0.1145,0.415540559257177,0.028022490910515,0.1145,0.270615668382249,0.016037129883191,0.2045,0.3155,0
0.1145,0.428961826589375,0.028176235364428,0.1145,0.293492677158038,0.01683244098546,0.202,0.366,0
0.1145,0.446642549496153,0.030407758084665,0.1095,0.292332415325488,0.016960394970418,0.209,0.378,0
0.1145,0.442165629364047,0.030892525086914,0.1135,0.238880180006324,0.014451897982464,0.207,0.396,0
0.1145,0.461674093435014,0.030279427216468,0.1145,0.254880031648346,0.015270186696831,0.2065,0.423,0
0.1145,0.398425565105126,0.026412097830093,0.1125,0.260411394009228,0.015128752724989,0.219,0.437,0
0.1145,0.406202210631288,0.026256408779552,0.1095,0.257733920100906,0.015027873800989,0.214,0.428,0
0.1145,0.509857944697117,0.03484337863866,0.1085,0.212067270130631,0.013299751202009,0.216,0.3565,0
0.1145,0.434990916465245,0.029973811189281,0.108,0.243167798904053,0.014390454630778,0.212,0.341,0
0.1145,0.403364538660144,0.027978846790584,0.1075,0.249257235741608,0.014062423594681,0.2185,0.366,0
0.1145,0.375215888165374,0.025670485573315,0.112,0.303486797238662,0.018107275651783,0.22,0.386,0
0.1145,0.414427078732602,0.027114201956983,0.1145,0.2711448779605,0.016012155523367,0.2075,0.388,0
0.1145,0.489435410650072,0.035130392535857,0.1075,0.246688277956094,0.015422640589943,0.2075,0.327,0
0.1145,0.418590869422089,0.029154184768339,0.1095,0.227824561314338,0.01327422578144,0.217,0.3295,0
0.1145,0.366092996102381,0.026314502280112,0.113,0.20743619193248,0.013550383852159,0.208,0.3815,0
0.1145,0.442567519394882,0.029804587404976,0.1145,0.235801108614176,0.013920750718143,0.2155,0.455,0
0.113,0.377374959670517,0.024596009173621,0.1105,0.320061918571385,0.019017416807854,0.2235,0.4665,0
0.1145,0.453577270236891,0.030814604990177,0.1145,0.266393879858883,0.016060594929443,0.2125,0.402,0
0.1145,0.414567296105548,0.029540645302215,0.08,0.214075708032475,0.011678231404318,0.216,0.384,0
0.1145,0.379254791852162,0.025289569700168,0.1145,0.25359042086266,0.014867133211501,0.206,0.3545,0
0.1145,0.4137113925084,0.027485691465866,0.1145,0.264268815427171,0.015779110850827,0.217,0.3635,0
0.1145,0.331281264991708,0.022350810399568,0.1145,0.255688188729887,0.015746270332456,0.214,0.385,0
0.1145,0.435733236031058,0.028936037679993,0.111,0.256858820389015,0.015056496750113,0.209,0.3345,0
0.1145,0.442578368944721,0.031828725656518,0.11,0.232228967045866,0.013830020413641,0.2105,0.3085,0
0.1145,0.393762473709057,0.027830544853925,0.1145,0.286017018656974,0.01727236091075,0.212,0.335,0
0.1145,0.364649058821021,0.025051672962416,0.113,0.291177579531264,0.01683167396736,0.2195,0.37,0
0.1145,0.384618629972008,0.025301570989246,0.1145,0.259063126438005,0.015483360369828,0.2135,0.404,0
0.1145,0.43462121256933,0.032016634155686,0.107,0.271800869129144,0.01572256649641,0.2155,0.3545,0
0.1145,0.355210123407494,0.027339608128405,0.0985,0.207759601703222,0.01214303108298,0.2035,0.331,0
0.1145,0.353912385729623,0.025287333245613,0.1145,0.215308227819874,0.012911973703408,0.215,0.3245,0
0.1145,0.381288082103366,0.025808485668222,0.1145,0.362459326815463,0.021232382744702,0.216,0.357,0
0.1145,0.366885532624707,0.024938943636884,0.1145,0.313434421996048,0.018172936922341,0.218,0.406,0
0.1145,0.355058760279829,0.023821287222794,0.1055,0.230525060531956,0.013691909854403,0.223,0.3875,0
0.1145,0.366809257185019,0.027243613013038,0.1145,0.219770219978868,0.013178288155105,0.2005,0.3375,0
0.1145,0.359643940079584,0.025886119042038,0.1125,0.249395425514361,0.014614862369738,0.216,0.36,0
0.1145,0.307717629946162,0.021434135820153,0.1145,0.260997659282212,0.015418791615938,0.2165,0.372,0
0.1135,0.244462221115594,0.018103209801993,0.114,0.21774957493369,0.01310258934511,0.2175,0.354,0
0.1145,0.335284683453257,0.024352909710873,0.1115,0.217876947600836,0.012766683712655,0.2125,0.3175,0
0.1145,0.343795951352323,0.024502641622755,0.1145,0.261038770996845,0.015626002080098,0.215,0.3345,0
0.1145,0.311640675326686,0.022247287473504,0.1135,0.270047478663419,0.016655176177632,0.2205,0.3905,0
0.113,0.328829633674279,0.021573708905581,0.1145,0.266703956593302,0.015762588142398,0.2215,0.3985,0
0.1255,0.133585399274123,0.009638804730683,0.1125,0.083120856173008,0.005196044154019,0.243,0.4985,1
0.1255,0.107928963824096,0.008369234097989,0.124,0.103115525594017,0.007596533141903,0.235,0.494,1
0.1255,0.115882032332348,0.008527677302024,0.1255,0.116451626412239,0.008089161685277,0.234,0.465,1
0.1255,0.143996518054346,0.010680604333684,0.111,0.095225543229151,0.005716768973217,0.235,0.4075,1
0.1255,0.100196371423492,0.007702887846124,0.119,0.113602782623339,0.007580812745424,0.2345,0.391,1
0.1255,0.111256731810169,0.008512710032242,0.1145,0.108507565096797,0.00725111586341,0.239,0.371,1
0.1255,0.112830773529283,0.008334934192484,0.1255,0.105191488693562,0.007671265461879,0.228,0.3385,1
0.1255,0.094005146448328,0.006578998816171,0.1185,0.096381169333196,0.006321542635835,0.215,0.4135,1
0.1255,0.107174039118612,0.008215845322794,0.1195,0.102018007340153,0.006510523068211,0.2335,0.401,1
0.1255,0.109848024219929,0.007652173270032,0.1255,0.09587950707167,0.006603429969601,0.2385,0.402,1
0.1255,0.101016221063109,0.007991397203626,0.1255,0.096985761730723,0.006702558492029,0.224,0.3295,1
0.114,0.236144114883793,0.014953206170247,0.1255,0.115193939823235,0.007793942682608,0.2595,0.315,1
0.113,0.111185018895636,0.009038214139427,0.12,0.102834601713208,0.006800353370629,0.227,0.2395,1
0.1255,0.11308399443285,0.008145314351734,0.1255,0.113424261829139,0.007988586069965,0.6275,0.238,1
0.1255,0.081085956399634,0.005660498072696,0.1255,0.089961356472213,0.006569679501631,0.3455,0.2325,1
0.109,0.103175344723469,0.006632095278926,0.1255,0.12095986820277,0.009728273110053,0.3625,0.2215,1
